user_id,group,opened,clicked
1,B,1,0
2,A,0,0
3,A,0,0
4,A,0,0
5,B,0,0
6,B,0,0
7,B,0,0
8,A,0,0
9,B,1,0
10,A,0,0
11,A,0,0
12,A,0,0
13,B,0,0
14,B,0,0
15,B,0,0
16,A,0,0
17,B,0,0
18,B,0,0
19,A,0,0
20,A,0,0
21,A,0,0
22,A,0,0
23,B,0,0
24,B,1,0
25,A,1,0
26,B,0,0
27,B,0,0
28,B,0,0
29,B,1,0
30,A,1,0
31,A,1,1
32,B,0,0
33,B,0,0
34,B,0,0
35,B,0,0
36,B,0,0
37,B,0,0
38,A,0,0
39,B,0,0
40,B,0,0
41,B,1,0
42,B,0,0
43,A,0,0
44,A,1,0
45,B,0,0
46,B,0,0
47,B,0,0
48,A,0,0
49,B,0,0
50,A,1,0
51,B,0,0
52,B,0,0
53,B,0,0
54,B,1,0
55,A,0,0
56,B,0,0
57,A,0,0
58,B,0,0
59,B,0,0
60,B,0,0
61,A,0,0
62,B,0,0
63,B,0,0
64,B,0,0
65,A,0,0
66,B,0,0
67,A,0,0
68,A,0,0
69,B,0,0
70,B,0,0
71,A,0,0
72,A,1,0
73,A,0,0
74,B,0,0
75,B,1,0
76,B,0,0
77,B,1,1
78,A,0,0
79,A,1,0
80,A,0,0
81,B,0,0
82,A,0,0
83,B,1,0
84,B,1,0
85,B,0,0
86,B,0,0
87,A,0,0
88,A,1,0
89,A,0,0
90,B,1,0
91,A,0,0
92,B,1,0
93,B,0,0
94,A,0,0
95,B,0,0
96,B,0,0
97,B,0,0
98,B,0,0
99,B,0,0
100,A,1,0
101,B,0,0
102,A,1,0
103,A,0,0
104,B,0,0
105,A,0,0
106,A,0,0
107,B,0,0
108,B,0,0
109,B,1,0
110,A,0,0
111,B,0,0
112,A,1,0
113,A,0,0
114,B,1,0
115,B,0,0
116,B,0,0
117,A,0,0
118,B,0,0
119,A,0,0
120,A,0,0
121,A,1,0
122,A,0,0
123,A,0,0
124,A,0,0
125,A,1,0
126,A,1,0
127,A,0,0
128,A,0,0
129,B,1,0
130,B,0,0
131,A,1,0
132,B,0,0
133,A,0,0
134,B,0,0
135,B,1,0
136,A,0,0
137,A,1,0
138,B,0,0
139,B,0,0
140,B,0,0
141,B,0,0
142,B,1,0
143,A,0,0
144,A,0,0
145,A,0,0
146,B,0,0
147,B,0,0
148,B,0,0
149,A,0,0
150,A,0,0
151,A,1,0
152,A,0,0
153,A,0,0
154,B,0,0
155,B,0,0
156,A,0,0
157,A,1,0
158,B,0,0
159,A,0,0
160,A,1,0
161,B,0,0
162,A,0,0
163,B,0,0
164,A,0,0
165,A,1,0
166,A,1,0
167,B,0,0
168,A,1,0
169,A,0,0
170,A,0,0
171,A,0,0
172,B,1,0
173,B,0,0
174,A,0,0
175,A,1,0
176,A,1,0
177,B,1,0
178,B,1,0
179,B,0,0
180,A,0,0
181,B,0,0
182,A,0,0
183,B,0,0
184,B,0,0
185,B,0,0
186,A,0,0
187,B,0,0
188,A,0,0
189,A,0,0
190,B,0,0
191,A,0,0
192,A,0,0
193,A,0,0
194,B,0,0
195,A,0,0
196,B,0,0
197,A,0,0
198,A,0,0
199,A,0,0
200,B,0,0
201,B,0,0
202,A,1,0
203,B,0,0
204,A,0,0
205,B,0,0
206,A,0,0
207,B,0,0
208,A,0,0
209,B,0,0
210,A,0,0
211,A,0,0
212,B,1,0
213,B,0,0
214,A,0,0
215,A,0,0
216,B,0,0
217,A,0,0
218,A,0,0
219,A,1,0
220,B,1,0
221,A,0,0
222,B,0,0
223,B,0,0
224,B,1,0
225,A,0,0
226,A,1,0
227,A,1,0
228,B,0,0
229,B,1,0
230,A,0,0
231,B,0,0
232,A,0,0
233,A,0,0
234,A,0,0
235,A,0,0
236,A,0,0
237,B,0,0
238,A,0,0
239,A,1,0
240,B,0,0
241,B,0,0
242,A,0,0
243,A,0,0
244,A,1,0
245,B,0,0
246,B,0,0
247,B,1,0
248,A,1,0
249,B,0,0
250,B,0,0
251,B,0,0
252,B,0,0
253,A,1,0
254,A,1,0
255,B,0,0
256,B,0,0
257,A,0,0
258,B,0,0
259,B,0,0
260,A,0,0
261,B,0,0
262,B,0,0
263,B,0,0
264,A,1,0
265,B,0,0
266,A,1,0
267,A,0,0
268,B,0,0
269,A,0,0
270,B,0,0
271,A,0,0
272,B,0,0
273,A,0,0
274,B,0,0
275,B,0,0
276,A,0,0
277,B,0,0
278,B,0,0
279,B,1,0
280,B,0,0
281,A,1,0
282,B,1,0
283,A,0,0
284,B,1,0
285,B,0,0
286,B,0,0
287,B,0,0
288,A,0,0
289,B,0,0
290,A,1,0
291,B,0,0
292,A,0,0
293,B,0,0
294,B,1,0
295,B,1,0
296,A,1,0
297,B,1,0
298,A,0,0
299,A,0,0
300,A,1,0
301,B,0,0
302,A,0,0
303,B,0,0
304,A,0,0
305,B,1,0
306,B,0,0
307,B,0,0
308,A,0,0
309,B,0,0
310,B,1,0
311,B,0,0
312,A,0,0
313,B,1,0
314,A,0,0
315,A,0,0
316,A,1,0
317,B,0,0
318,B,1,0
319,B,0,0
320,B,1,0
321,A,0,0
322,A,1,0
323,A,0,0
324,A,0,0
325,B,0,0
326,B,0,0
327,A,0,0
328,B,0,0
329,A,0,0
330,A,0,0
331,A,0,0
332,A,0,0
333,A,0,0
334,A,0,0
335,B,1,0
336,B,0,0
337,B,0,0
338,B,1,1
339,B,1,0
340,B,0,0
341,A,0,0
342,B,0,0
343,A,0,0
344,A,0,0
345,B,0,0
346,A,0,0
347,B,0,0
348,B,0,0
349,B,1,1
350,A,0,0
351,A,0,0
352,A,1,0
353,A,0,0
354,B,1,0
355,B,0,0
356,B,0,0
357,B,0,0
358,A,0,0
359,A,1,0
360,B,0,0
361,B,0,0
362,A,0,0
363,A,0,0
364,B,1,0
365,A,1,0
366,B,0,0
367,B,0,0
368,B,1,0
369,B,0,0
370,B,1,0
371,B,0,0
372,A,0,0
373,A,1,0
374,A,0,0
375,A,0,0
376,B,0,0
377,A,0,0
378,B,1,1
379,A,1,0
380,B,0,0
381,B,0,0
382,B,1,1
383,A,0,0
384,A,0,0
385,A,0,0
386,A,0,0
387,B,1,0
388,A,0,0
389,B,0,0
390,A,1,0
391,B,1,0
392,A,0,0
393,A,0,0
394,B,0,0
395,B,0,0
396,B,0,0
397,B,0,0
398,B,0,0
399,A,0,0
400,A,0,0
401,A,0,0
402,B,0,0
403,B,0,0
404,B,0,0
405,A,1,0
406,A,0,0
407,B,0,0
408,A,0,0
409,A,1,0
410,B,0,0
411,A,0,0
412,B,1,0
413,A,0,0
414,A,1,0
415,A,1,0
416,A,1,0
417,A,0,0
418,A,1,0
419,A,0,0
420,B,1,0
421,B,1,0
422,B,1,0
423,B,1,0
424,A,0,0
425,B,0,0
426,A,0,0
427,B,1,0
428,A,0,0
429,B,0,0
430,B,1,0
431,A,0,0
432,A,1,0
433,A,1,0
434,A,0,0
435,B,0,0
436,B,0,0
437,A,0,0
438,A,0,0
439,B,0,0
440,A,0,0
441,B,0,0
442,A,0,0
443,B,0,0
444,A,0,0
445,B,0,0
446,B,1,0
447,A,0,0
448,A,0,0
449,A,0,0
450,B,1,0
451,A,0,0
452,B,1,0
453,A,1,0
454,A,0,0
455,A,0,0
456,B,0,0
457,B,0,0
458,A,0,0
459,B,0,0
460,A,1,1
461,B,1,0
462,B,0,0
463,B,0,0
464,B,0,0
465,B,0,0
466,B,0,0
467,A,0,0
468,B,0,0
469,A,0,0
470,B,0,0
471,A,0,0
472,A,0,0
473,A,0,0
474,B,0,0
475,A,0,0
476,A,1,1
477,A,0,0
478,B,0,0
479,B,0,0
480,A,1,0
481,B,0,0
482,A,0,0
483,B,0,0
484,A,0,0
485,A,0,0
486,A,0,0
487,A,0,0
488,A,0,0
489,A,0,0
490,A,0,0
491,B,1,0
492,A,0,0
493,A,1,0
494,A,0,0
495,A,0,0
496,B,1,0
497,A,1,0
498,A,1,0
499,B,0,0
500,A,0,0
501,A,0,0
502,B,0,0
503,B,0,0
504,A,0,0
505,A,0,0
506,B,1,0
507,A,1,0
508,A,0,0
509,A,0,0
510,A,0,0
511,B,1,0
512,B,1,1
513,B,0,0
514,A,0,0
515,B,0,0
516,A,0,0
517,B,0,0
518,A,1,0
519,A,0,0
520,A,0,0
521,B,0,0
522,B,0,0
523,B,0,0
524,A,0,0
525,B,0,0
526,B,1,0
527,B,0,0
528,A,0,0
529,A,0,0
530,A,0,0
531,B,1,1
532,A,0,0
533,A,0,0
534,A,1,0
535,A,0,0
536,A,0,0
537,B,0,0
538,A,1,0
539,B,0,0
540,B,0,0
541,A,0,0
542,A,1,0
543,A,0,0
544,A,1,0
545,A,1,0
546,A,0,0
547,A,0,0
548,B,0,0
549,B,0,0
550,B,0,0
551,A,0,0
552,A,1,0
553,B,0,0
554,B,0,0
555,A,0,0
556,B,1,0
557,B,0,0
558,A,0,0
559,B,1,0
560,A,0,0
561,A,0,0
562,B,0,0
563,B,0,0
564,B,0,0
565,A,0,0
566,A,1,0
567,A,0,0
568,A,0,0
569,B,0,0
570,A,0,0
571,A,0,0
572,B,0,0
573,A,0,0
574,A,0,0
575,A,0,0
576,A,0,0
577,A,0,0
578,B,0,0
579,B,0,0
580,B,1,0
581,B,0,0
582,A,0,0
583,A,1,0
584,A,1,0
585,B,0,0
586,A,0,0
587,A,1,0
588,A,0,0
589,A,0,0
590,A,0,0
591,A,1,0
592,B,0,0
593,B,0,0
594,A,0,0
595,A,0,0
596,A,0,0
597,B,1,1
598,A,0,0
599,A,0,0
600,A,1,0
601,B,1,0
602,B,0,0
603,A,0,0
604,A,1,0
605,B,0,0
606,B,1,0
607,B,0,0
608,A,0,0
609,A,0,0
610,A,0,0
611,A,0,0
612,A,0,0
613,B,0,0
614,B,0,0
615,B,0,0
616,A,0,0
617,B,0,0
618,A,0,0
619,A,0,0
620,B,0,0
621,B,0,0
622,B,0,0
623,A,0,0
624,B,0,0
625,B,0,0
626,B,1,0
627,A,1,0
628,A,0,0
629,B,0,0
630,A,0,0
631,A,0,0
632,A,0,0
633,A,0,0
634,A,0,0
635,B,0,0
636,B,0,0
637,A,0,0
638,A,1,0
639,A,1,0
640,B,1,0
641,A,0,0
642,A,1,0
643,B,0,0
644,A,0,0
645,B,0,0
646,A,1,0
647,A,1,1
648,B,0,0
649,B,1,0
650,B,1,1
651,A,1,0
652,B,0,0
653,B,0,0
654,B,0,0
655,A,1,0
656,B,0,0
657,A,0,0
658,A,0,0
659,B,1,0
660,A,0,0
661,A,0,0
662,A,1,0
663,A,0,0
664,B,0,0
665,A,0,0
666,B,1,1
667,B,0,0
668,B,0,0
669,A,0,0
670,A,0,0
671,B,0,0
672,A,1,1
673,B,0,0
674,A,1,1
675,B,1,0
676,A,0,0
677,A,0,0
678,A,1,1
679,A,1,1
680,B,0,0
681,A,0,0
682,A,0,0
683,B,0,0
684,A,0,0
685,A,0,0
686,B,1,0
687,B,1,0
688,B,0,0
689,A,1,0
690,B,0,0
691,B,0,0
692,A,0,0
693,A,0,0
694,A,0,0
695,B,0,0
696,A,0,0
697,A,0,0
698,B,0,0
699,B,0,0
700,A,1,0
701,B,1,1
702,B,0,0
703,B,0,0
704,A,0,0
705,B,0,0
706,A,0,0
707,A,0,0
708,B,0,0
709,A,0,0
710,A,0,0
711,A,0,0
712,A,0,0
713,A,0,0
714,B,0,0
715,A,1,0
716,B,0,0
717,B,0,0
718,A,0,0
719,B,1,0
720,B,1,0
721,A,1,0
722,B,0,0
723,B,0,0
724,A,0,0
725,B,0,0
726,A,1,0
727,A,0,0
728,B,1,0
729,A,0,0
730,B,1,0
731,A,1,0
732,A,0,0
733,B,0,0
734,A,0,0
735,A,0,0
736,B,1,0
737,B,0,0
738,B,0,0
739,B,0,0
740,A,0,0
741,A,0,0
742,A,0,0
743,A,0,0
744,B,1,1
745,A,0,0
746,B,0,0
747,B,0,0
748,A,0,0
749,B,1,0
750,B,0,0
751,A,0,0
752,A,0,0
753,B,0,0
754,B,0,0
755,A,0,0
756,A,0,0
757,B,1,0
758,B,0,0
759,A,0,0
760,B,0,0
761,A,1,0
762,A,1,0
763,A,0,0
764,B,1,0
765,B,0,0
766,A,0,0
767,B,0,0
768,A,0,0
769,B,1,0
770,B,1,0
771,B,0,0
772,B,1,0
773,B,0,0
774,A,0,0
775,A,0,0
